ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
8568,0,0,0,0,2,0,0.2,0.2,0,0,Aug,1,1,3,1,Returning_Visitor,0,0
9207,1,5,0,0,2,15.2,0,0.04,0,0,Aug,1,1,6,3,Returning_Visitor,0,0
9321,0,0,0,0,3,0,0.2,0.2,0,0,Aug,1,1,3,4,Returning_Visitor,0,0
8955,4,54.8,0,0,3,20.25714286,0,0.028571429,0,0,Aug,1,1,3,2,Returning_Visitor,0,0
8180,0,0,0,0,4,39.8,0,0.05,0,0,Aug,1,1,1,3,New_Visitor,0,0
8333,0,0,0,0,4,288.4333333,0,0.0125,0,0,Aug,1,1,4,2,Returning_Visitor,0,0
6912,0,0,0,0,5,60.9,0.04,0.12,0,0,Aug,1,1,1,3,Returning_Visitor,0,0
7950,0,0,0,0,5,109.8,0.12,0.16,0,0,Aug,1,1,4,3,Returning_Visitor,0,0
8325,0,0,0,0,5,150.8,0,0.02,0,0,Aug,1,1,1,2,Returning_Visitor,0,0
5988,4,71.2,0,0,6,178.8,0,0.014814815,0,0,Aug,1,1,1,5,New_Visitor,0,0
12096,0,0,0,0,7,296.7666667,0,0,0,0,Aug,1,8,7,3,Returning_Visitor,0,0
5330,1,71.6,0,0,7,286.7,0,0.008333333,0,0,Aug,1,1,7,3,New_Visitor,0,0
5650,4,282.1,0,0,7,107.6,0,0.011111111,0,0,Aug,1,1,2,5,New_Visitor,0,0
4228,0,0,0,0,8,65.4,0.05,0.15,0,0,Aug,1,1,1,3,Returning_Visitor,0,0
6119,2,24.2,0,0,8,530,0,0.044444444,0,0,Aug,1,8,1,2,Returning_Visitor,0,0
7573,0,0,0,0,10,45.2,0.08,0.1,0,0,Aug,1,1,1,3,Returning_Visitor,0,0
11228,0,0,0,0,10,232.4,0,0,0,0,Aug,1,1,3,4,Returning_Visitor,0,0
10880,0,0,0,0,11,631.4,0.054545455,0.048484848,0,0,Aug,1,1,1,3,Returning_Visitor,0,0
8665,0,0,0,0,14,317.0666667,0.035714286,0.05,0,0,Aug,1,1,9,3,Returning_Visitor,0,0
4609,4,71.4,0,0,14,449.4,0.03,0.076666667,0,0,Aug,1,1,1,3,Returning_Visitor,0,0
6248,8,133.35,2,383.8,14,552.48,0.005263158,0.016140351,20.33155364,0,Aug,1,1,1,6,Returning_Visitor,0,0
7352,2,22.2,0,0,18,584.74,0.005882353,0.023529412,0,0,Aug,1,1,3,2,Returning_Visitor,0,0
7315,5,209.2,0,0,18,447.1666667,0.008695652,0.041304348,0,0,Aug,1,1,1,1,Returning_Visitor,0,0
11058,0,0,0,0,19,401.9,0.056140351,0.092982456,0,0,Aug,1,1,2,1,Returning_Visitor,0,0
12204,0,0,0,0,19,923.22,0,0,0,0,Aug,1,1,1,4,Returning_Visitor,0,0
6588,2,70.6,0,0,30,515.2333333,0,0.02,0,0,Aug,1,1,3,1,Returning_Visitor,0,0
11838,2,34.2,0,0,32,929.91,0.006060606,0.026262626,0,0,Aug,1,1,3,3,Returning_Visitor,0,0
8596,4,11,0,0,44,2149.190195,0.02705314,0.048201119,0,0,Aug,1,1,1,3,Returning_Visitor,0,0
3928,6,141,0,0,47,830.3411669,0.004421769,0.028456454,0,0,Aug,1,1,4,2,Returning_Visitor,0,0
10423,8,166.46,1,25.2,47,981.6014286,0.007272727,0.006818182,0,0,Aug,1,1,1,3,Returning_Visitor,0,0
6742,9,352.2333333,0,0,49,2268.900677,0,0.017407407,0,0,Aug,1,2,9,2,Returning_Visitor,0,0
4441,4,97.8,0,0,53,1228.289524,0.02345679,0.042026749,0,0,Aug,1,1,2,3,Returning_Visitor,0,0
7242,0,0,0,0,56,1294.637143,0.007407407,0.03345679,0,0,Aug,1,1,3,3,Returning_Visitor,0,0
9801,0,0,0,0,67,771.4133333,0,0.004205128,0,0,Aug,1,8,9,1,Returning_Visitor,0,0
7113,14,1097.016667,1,291.2,68,4100.255455,0.007631579,0.025614035,18.42740587,0,Aug,1,1,3,3,Returning_Visitor,0,0
9231,2,56.4,1,0,72,2101.467925,0.006140351,0.029986961,0,0,Aug,1,1,2,2,Returning_Visitor,0,0
5300,0,0,0,0,75,2532.960656,0.004266667,0.030748538,0,0,Aug,1,6,1,1,Returning_Visitor,0,0
8440,0,0,3,62.8,90,2167.900476,0.002898551,0.013297101,0,0,Aug,1,1,3,4,Returning_Visitor,0,0
9172,9,501.4833333,0,0,97,2293.490129,0.011455734,0.02697054,2.209972688,0,Aug,1,1,3,4,Returning_Visitor,0,0
5532,8,628.3666667,1,0,131,4044.465674,0.008889185,0.030612404,0,0,Aug,1,1,3,2,Returning_Visitor,0,0
8046,0,0,2,21,0,0,0,0.05,0,0,Dec,1,1,4,10,New_Visitor,0,0
5767,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,13,9,20,Returning_Visitor,0,0
8810,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,2,1,1,Returning_Visitor,0,0
8244,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,6,2,Returning_Visitor,0,0
6324,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,13,9,20,Returning_Visitor,0,0
10157,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,7,3,Returning_Visitor,0,0
4506,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,1,2,New_Visitor,0,0
10088,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,1,3,Returning_Visitor,0,0
7231,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,1,2,New_Visitor,0,0
5082,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,1,3,New_Visitor,0,0
11374,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,2,3,1,Returning_Visitor,0,0
8482,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,4,1,Returning_Visitor,0,0
6051,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,3,3,Returning_Visitor,0,0
5975,0,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,2,3,Returning_Visitor,0,0
11112,0,0,0,0,1,39.5,0,0.1,0,0,Dec,1,2,1,2,Returning_Visitor,0,0
4666,1,0,0,0,1,0,0.2,0.2,0,0,Dec,1,1,1,10,Returning_Visitor,0,0
6397,2,146,2,52.25,1,0,0,0.04,0,0,Dec,1,1,1,2,Returning_Visitor,0,0
5233,0,0,0,0,2,10,0,0.1,0,0,Dec,1,1,2,2,New_Visitor,0,0
5779,0,0,0,0,2,15,0,0.1,0,0,Dec,1,1,1,10,Returning_Visitor,0,0
